"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_fail4","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
"","0","test_pass1","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass8","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_fail1","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
"","0","test_skipped3","tests.simple","Sun Apr 19 14:08:42 UTC 2026","skipped","Sun Apr 19 14:08:42 UTC 2026","","test_skip","",""
"","0","test_pass15","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","1","test_dynamic_labels","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_labels","",""
"","0","test_pass","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_skipped2","tests.simple","Sun Apr 19 14:08:42 UTC 2026","skipped","Sun Apr 19 14:08:42 UTC 2026","","test_skip","",""
"","0","test_pass12","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass3","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","5241","test_form_allure_dynamic_steps","tests.demoqa","Sun Apr 19 14:08:23 UTC 2026","passed","Sun Apr 19 14:08:28 UTC 2026","","test_registration_form","",""
"","0","test_decorator_labels","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_labels","",""
"","0","test_pass9","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_fail2","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
"","4628","test_form_allure_decorator_steps","tests.demoqa","Sun Apr 19 14:08:37 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_registration_form","",""
"","8437","test_form_allure_dynamic_steps_failed","tests.demoqa","Sun Apr 19 14:08:29 UTC 2026","failed","Sun Apr 19 14:08:37 UTC 2026","","test_registration_form","",""
"","0","test_pass7","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","1","test_no_labels","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_labels","",""
"","0","test_pass14","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass10","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_fail5","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
"","0","test_pass5","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass6","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass4","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass11","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass2","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_pass13","tests.simple","Sun Apr 19 14:08:42 UTC 2026","passed","Sun Apr 19 14:08:42 UTC 2026","","test_pass","",""
"","0","test_skipped1","tests.simple","Sun Apr 19 14:08:42 UTC 2026","skipped","Sun Apr 19 14:08:42 UTC 2026","","test_skip","",""
"","0","test_fail6","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
"","0","test_fail7","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
"","0","test_fail3","tests.simple","Sun Apr 19 14:08:42 UTC 2026","failed","Sun Apr 19 14:08:42 UTC 2026","","test_fail","",""
