"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_pass12","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass5","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","1","test_decorator_labels","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_labels","",""
"","0","test_pass","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass15","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","1","test_dynamic_labels","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_labels","",""
"","0","test_fail6","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","4870","test_form_allure_dynamic_steps","tests.demoqa","Thu Apr 23 10:06:54 UTC 2026","passed","Thu Apr 23 10:06:59 UTC 2026","","test_registration_form","",""
"","0","test_pass13","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass1","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","1","test_pass4","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_fail3","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","0","test_fail7","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","0","test_fail5","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","0","test_pass10","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass14","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","4466","test_form_allure_decorator_steps","tests.demoqa","Thu Apr 23 10:07:08 UTC 2026","passed","Thu Apr 23 10:07:12 UTC 2026","","test_registration_form","",""
"","8518","test_form_allure_dynamic_steps_failed","tests.demoqa","Thu Apr 23 10:06:59 UTC 2026","failed","Thu Apr 23 10:07:08 UTC 2026","","test_registration_form","",""
"","0","test_fail1","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","0","test_pass3","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass7","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass6","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_skipped3","tests.simple","Thu Apr 23 10:07:13 UTC 2026","skipped","Thu Apr 23 10:07:13 UTC 2026","","test_skip","",""
"","0","test_pass8","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_skipped1","tests.simple","Thu Apr 23 10:07:13 UTC 2026","skipped","Thu Apr 23 10:07:13 UTC 2026","","test_skip","",""
"","1","test_pass9","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_fail4","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","0","test_fail2","tests.simple","Thu Apr 23 10:07:13 UTC 2026","failed","Thu Apr 23 10:07:13 UTC 2026","","test_fail","",""
"","0","test_pass2","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","0","test_pass11","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_pass","",""
"","1","test_no_labels","tests.simple","Thu Apr 23 10:07:13 UTC 2026","passed","Thu Apr 23 10:07:13 UTC 2026","","test_labels","",""
"","0","test_skipped2","tests.simple","Thu Apr 23 10:07:13 UTC 2026","skipped","Thu Apr 23 10:07:13 UTC 2026","","test_skip","",""
